income_to_cost,asset_ratio,dependency_ratio,eligible
1.114001490011227,0.33016392055931953,0.5,0
0.8148352515943893,0.18815015168558777,0.5,1
1.5396999046809294,0.341108602199514,0.0,0
1.8334943612688115,0.41855521441800303,0.0,0
0.6521757463257036,0.2444751274588827,0.6666666666666666,1
0.8949225501009394,0.19285460386118067,0.5,0
1.5487805932441556,0.466303860234842,0.0,0
1.1129691488373823,0.4740802391106914,0.6666666666666666,0
0.7231603282496246,0.20849034066500574,0.0,0
1.0905317349250225,0.4678298514918635,0.8,0
0.5206434420389777,0.22056544581741255,0.4,1
0.5808129487579566,0.15899646428841488,0.0,0
0.9172197541523252,0.38399098108409396,0.5714285714285714,0
0.3241952898699733,0.13756675717478004,0.5,1
0.3396099933448061,0.10841579618415503,0.0,1
0.6654142879556693,0.1750878964991788,0.3333333333333333,1
0.7166905037649969,0.2554150519097954,0.42857142857142855,1
0.7289368897780523,0.34727958556936916,0.0,0
0.5050407495696503,0.1979179041093638,0.3333333333333333,1
0.37899540784276975,0.09546013132258424,0.75,1
1.708260918026302,0.6915502749154896,0.0,0
0.8169916945680693,0.2681047364686924,0.0,0
0.8658673159999801,0.32682909883083394,0.75,1
0.525119543381766,0.22066531994164654,0.16666666666666666,1
0.46204206554756005,0.16378661449210588,0.0,1
1.0556669748536254,0.46892219497586557,0.0,0
0.5415101737208293,0.22561841270692984,0.6666666666666666,1
1.0513728994341374,0.40427601214479764,0.0,0
0.5050790720467979,0.12386450305693793,0.0,0
0.7018093412557895,0.31636493670682114,0.2,0
0.7394542520064779,0.3555086597637004,0.0,0
1.7292163628421258,0.41689597253734423,0.0,0
0.7284283631483647,0.25238027865014373,0.4,1
0.4437040649715954,0.1232018091506277,0.5,1
1.1087362835114558,0.47271746701162876,0.3333333333333333,0
0.3251862682886116,0.13543646818337354,0.5,1
0.6803571834933676,0.16482709784689353,0.0,0
0.3405476742683181,0.15771041410307557,0.0,1
0.3368349614574475,0.08565440880044949,0.7142857142857143,1
0.8491442217171992,0.37292521279573226,0.7142857142857143,1
1.0952319376425677,0.36919623295050663,0.4,0
1.1881857416515729,0.35465168590583096,0.0,0
